producto_id,nombre,caso,comportamiento_propuesto
3,Destornillador plano,sin_departamento_real (prefijo SD transitorio),prefijo virtual SDXX -> SDXX-001; migrar a depto real despues
10,ACCESORIOS PARA BAÑOS (VALENTINO B),con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-001
21,ALCAYATA METAL (PAR),con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-002
24,AMOLADORA RECTA 1- 1/2 DW887,con_depto_sin_categoria (Herramientas Electricas),placeholder XX -> HEXX-001
88,ASPIRADO D/AUTO AV1500LA DW,con_depto_sin_categoria (Herramientas Electricas),placeholder XX -> HEXX-002
111,BATIDOR DE MEZCLA 3/8 550M AMARILLO,con_depto_sin_categoria (Accesorios p/Pintor),placeholder XX -> AIXX-001
183,BRIDA MOVIL C/CUELLO P/TUBO 3Y 4 FAMA,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-003
185,BUJE MOTOR LAVADO 12mm,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-001
186,BUJE MOTOR SECADO 10mm,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-002
187,BUJE VENT KOOL S/C,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-003
188,BUJE VENT PATÓN BISELADO,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-004
203,CALENTADOR ELÉCTRICO 35L 110V,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-004
235,CARETA P/ESMERILAR,con_depto_sin_categoria (HIERRO Y HERRERIA),placeholder XX -> HHXX-001
236,CARETA P/SOLDAR AUTOMÁTICA NEGRA (EXXEL),con_depto_sin_categoria (Linea Herreria),placeholder XX -> LHXX-001
239,CARGADOR AIRE INDUSTRIAL AZUL,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-005
267,Cavadora de Madera Exxel Uso Agricola,con_depto_sin_categoria (linea agricola),placeholder XX -> LAXX-001
315,CARTUCHO ELEMENTO FILTRO CARB AQP-21758,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-006
357,CESTA ESCURRIDERO ACERO INOXIDABLE,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-007
360,CESTA REDONDA C/TAPA 30.5LTS,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-008
395,CINTA ALUMINIO BUTILO 5M*10CM COVO,con_depto_sin_categoria (Impermeabilizacion),placeholder XX -> IMXX-001
397,CINTA ALUMINIO BUTÍLO 3M x 10CM (COVO),con_depto_sin_categoria (Impermeabilizacion),placeholder XX -> IMXX-002
398,CINTA ANTIRRESBALANTE PRECAUCION AMAR,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-009
406,CINTA IMPERM BUTILO EXXEL,con_depto_sin_categoria (Impermeabilizacion),placeholder XX -> IMXX-003
407,CINTA IMPERMEABLE TAPA HUECOS AQQUAPLUS,con_depto_sin_categoria (Impermeabilizacion),placeholder XX -> IMXX-004
424,"Cinta Adh. Tiro Verde 1""x45m EXXEL",con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-010
447,CLIP PARA MALLA POLISOMBRA,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-011
453,COMBO LAVAMANOS CRIOLLA N 5,con_depto_sin_categoria (Linea Plomeria),placeholder XX -> LPXX-001
454,COMBO LAVAPLATO N 2,con_depto_sin_categoria (Linea Plomeria),placeholder XX -> LPXX-002
470,CONO DE SEGURIDAD PVC 18,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-012
472,CONTRATUERCA GRVEN LAVAPLATO,con_depto_sin_categoria (Linea Plomeria),placeholder XX -> LPXX-003
476,CORTA CERAMICA T/LAPIZ RUBI,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-013
477,CORTA TUBO BEKER,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-014
478,CORTA TUBO PEQUEÑO,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-015
480,CORTADORA DE LOZA BD TC1200,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-016
482,CRAYONES PARA MARCAR 6PZAS,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-017
483,CREOLINA 500ML,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-018
489,CUERDA ELASTICA 60CM (UYUSTOOLS),con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-019
490,CUERDA ELASTICA 8MM VERDE 1.2MTS,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-020
491,CUERDA SUJETA CARGA 1TON 1.5MTS,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-021
495,DADOS PARA BUJIAS 1/2*13/16 o 21mm,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-022
496,DADOS PARA BUJIAS 1/2*5/8 o 16mm,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-023
554,DESMALEAZDORA HOMELITE 26CC,con_depto_sin_categoria (Maquinaria Industrial y Agricola),placeholder XX -> MIXX-001
564,DESTAPADOR DE CAÑERÍAS (ACTIVO),con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-024
615,DISPENSADOR DE JABÓN LÍQUIDO 130ML,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-025
616,DISPENSADOR JABON LAVAPLATOS,con_depto_sin_categoria (Linea Plomeria),placeholder XX -> LPXX-004
617,DRILL SET 65PZA COOFIX 135W 8000-3300RPM,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-026
678,DUCTO DE ESCAPE 4*5 FLEXIB,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-027
696,ENGRASADORA INGCO 400CC,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-028
697,ENVASE ATOMIZADOR EXXEL 500ML,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-029
698,EQUIPO OXICORTE MASTERMING,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-030
704,ESCARDILLA AGRICOLA,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-031
730,ESTAÑO X MTS,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-032
733,EXTENSION 1 1/2 PLASTICA,con_depto_sin_categoria (Linea Plomeria),placeholder XX -> LPXX-005
736,EXTENSION 1.1/4 PLASTICO,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-033
744,"EXTRACTOR 10"" GENÉRICO (DAÑADO)",con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-034
745,"EXTRACTOR 12"" GENÉRICO (DAÑADO)",con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-035
754,FILTRO D AIRE TRAMPA D/AGUA 10CC (WADFOW,con_depto_sin_categoria (Linea Plomeria),placeholder XX -> LPXX-006
808,FORMULA MECANICA FEDERAL,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-036
909,GANCHO DE METAL PARA LAMINAS,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-037
910,GANCHO PARA COLGAR DOBLE BRONCE,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-038
911,GARRUCHA 4RB,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-039
912,GARRUCHAS 2RB,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-040
922,GRAPAS CORONA COVO 1/2,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-041
923,"GRAPAS DE 1/2"" (TOTAL)",con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-042
924,GRASA AZÚL AUTOMOTRÍZ 400gr,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-043
925,GRASA GRAFITADA 1KG,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-044
980,GUIA 40MM 1/2 GRANDE,con_depto_sin_categoria (HIERRO Y HERRERIA),placeholder XX -> HHXX-002
985,HACHA 3.5 C/CABO EXXEL,con_depto_sin_categoria (linea agricola),placeholder XX -> LAXX-002
986,HACHUELA CABO MADERA,con_depto_sin_categoria (linea agricola),placeholder XX -> LAXX-003
987,HARAGAN PLASTICO PRQUEÑO S/CABO,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-045
