departamento,categoria,prefijo,ganador_o_perdedor_en_colision,letra_alternativa_usada
Accesorios p/Pintor,Brochas,AIBR,perdedor_depto,I
Accesorios p/Pintor,cinta tirro,AICI,perdedor_depto,I
Accesorios p/Pintor,fundas o camisas,AIFU,perdedor_depto,I
Accesorios p/Pintor,kit bandeja,AIKI,perdedor_depto,I
Accesorios p/Pintor,lijas,AILI,perdedor_depto,I
Accesorios p/Pintor,pistolas,AIPI,perdedor_depto,I
Accesorios p/Pintor,rodillos,AIRO,perdedor_depto,I
Accesorios p/Constructor,botas todas,APBO,ganador_depto,
Accesorios p/Constructor,carretilas,APCA,ganador_depto+ganador_categoria,
Accesorios p/Constructor,cauchos todos / tripas todas,APCC,ganador_depto+perdedor_categoria,C
Accesorios p/Constructor,cepillos todos,APCE,ganador_depto,
Accesorios p/Constructor,cucharas,APCU,ganador_depto,
Accesorios p/Constructor,espatulas,APES,ganador_depto,
Accesorios p/Constructor,guantes,APGU,ganador_depto,
Accesorios p/Constructor,limpotex,APLI,ganador_depto,
Accesorios p/Constructor,Palin / cabos todos,APPA,ganador_depto+ganador_categoria,
Accesorios p/Constructor,Palas/picos,APPL,ganador_depto+perdedor_categoria,L
Accesorios p/Constructor,palustras,APPU,ganador_depto+perdedor_categoria,U
Accesorios p/Constructor,rastrillos,APRA,ganador_depto,
Bombas de motor Electrico,Autocebantes,BMAU,ganador_depto,
Bombas de motor Electrico,bombas centrifugas,BMBA,ganador_depto+perdedor_categoria,A
Bombas de motor Electrico,bombas de pesquera,BMBB,ganador_depto+perdedor_categoria,B
Bombas de motor Electrico,bombas perifericas,BMBM,ganador_depto+perdedor_categoria,M
Bombas de motor Electrico,bombas de caudal,BMBO,ganador_depto+ganador_categoria,
Bombas de motor Electrico,bombas verticales,BMBS,ganador_depto+perdedor_categoria,S
Bombas de motor Electrico,Bombas sumergibles,BMBU,ganador_depto+perdedor_categoria,U
Bombas de motor Electrico,Flotadores/boyas,BMFL,ganador_depto,
Conexiones Plasticas Roscadas,niples plasticos,CPNI,ganador_depto,
Conexiones para ROSCA Galvaniz,conectores variantes,CRCN,perdedor_categoria,N
Conexiones para ROSCA Galvaniz,conectores básicos,CRCO,ganador_categoria,
Conexiones para ROSCA Galvaniz,niples galvanizados,CRNI,,
Conexiones y Tuberia COBRE,Conexiones,CTCO,,
Conexiones y Tuberia COBRE,tuberia,CTTU,,
Conexiones P.V.C.,coneptores basicos P.V.C,CVCO,perdedor_depto,V
Ferretería General,abrazadera,FGAB,,
Ferretería General,balanzas todas,FGBA,,
Ferretería General,CAVAS/FILTROS/TERMOS,FGCA,,
Ferretería General,cortineros y tubos,FGCO,,
Ferretería General,escaleras,FGES,,
Ferretería General,gatos automotriz,FGGA,,
Ferretería General,Generalidades,FGGE,,
Ferretería General,manguera roja y multiuso,FGMA,ganador_categoria,
Ferretería General,mecates,FGMC,perdedor_categoria,C
Ferretería General,mecate/nylon/mecatillos,FGME,ganador_categoria,
Ferretería General,manguera trasparente,FGMN,perdedor_categoria,N
Ferretería General,pegamentos/ silicones,FGPE,,
Ferretería General,regulador/cocinas/rep cocina,FGRE,,
Ferretería General,ruedas todas,FGRU,,
Ferretería General,señales,FGSE,,
Herramientas Electricas,desmalezadoras electricas,HEDE,,
Herramientas Electricas,Esmeriles,HEES,,
Herramientas Electricas,minicompresores portatiles,HEMI,,
Herramientas Electricas,Taladros,HETA,,
Herramientas Electricas,Trozadoras,HETR,,
Hidros y filtros en General,cartuchos de filtros/ cargas para desbarradores,HFCA,,
Hidros y filtros en General,filtros domesticos en general,HFFI,ganador_categoria,
Hidros y filtros en General,Filtros desbarradores aqqua1,HFFL,perdedor_categoria,L
Hidros y filtros en General,HIDROTANQUE,HFHD,perdedor_categoria,D
Hidros y filtros en General,Hidroneumaticos/hidrofiltros,HFHI,ganador_categoria,
Hidros y filtros en General,Press control/accesrios para hidros/filtros,HFPR,,
Hidros y filtros en General,tanques hidri / hidrofiltro,HFTA,ganador_categoria,
Hidros y filtros en General,tanques filtros / filtros compactos,HFTN,perdedor_categoria,N
Hidros y filtros en General,Tanques Precargados/kit hidrocompacto,HFTQ,perdedor_categoria,Q
HIERRO Y HERRERIA,"cabillas, malla cercha  y perfiles",HHCA,,
HIERRO Y HERRERIA,Ciclon/tubos/partes,HHCI,,
HIERRO Y HERRERIA,ELECTRODOS,HHEL,,
HIERRO Y HERRERIA,laminas techo y hierro negro,HHLA,,
HIERRO Y HERRERIA,PUERTAS,HHPU,,
HIERRO Y HERRERIA,Tuberias/angulos/pletinas,HHTU,,
Herramientas Manuales,alicates,HMAL,,
Herramientas Manuales,arco seguetas,HMAR,,
Herramientas Manuales,dados todos,HMDA,,
Herramientas Manuales,destornilladores y juegos destonillador,HMDE,,
Herramientas Manuales,escuadras,HMES,,
Herramientas Manuales,exactos,HMEX,,
Herramientas Manuales,grapadoras todas,HMGR,,
Herramientas Manuales,llaves combinadas,HMLA,perdedor_categoria,A
Herramientas Manuales,llaves ajustables,HMLL,ganador_categoria,
